0   196
1   196
2   196
3   144
4   136
5   116
6   116
7   116
8   69
9   59
10  33
11  21
12  15
13  15
14  0


#0
#1           # pondeli
#2           # utery
#3 -52        # streda
#4 -8          # ctvrtek
#5  -20         # patek
#6
#7
#8  -47         # po
#9  -10         # ut
#10 -26         # st
#11 -12         # ct
#12 -6        # pa
#13 
#14  -15
