0 160
1 160
2 160
3 160
4 144
5 136
6 136
7 136
8 108
9 60
10 0
#0 160      
#1          po
#2          ut
#3          st
#4  -8 -8     ct
#5  -8      pa
#6
#7          
#8  -4 -12 -10 -2     po
#9  -10 -18  -10 -10     ut
#10 -42 -10 -6    st
